"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"1-Caffeoylquinic Acid"," 0.02205931","-0.19355331"," 0.31506791","-0.50708283"," 0.78740321","-0.39708574"," 0.74627362","-0.43911610","-0.91706501","-0.58649216"," 0.01232580"," 0.04671661"," 0.92596122","-0.14799841","-0.64386646","-0.48504772","-0.51853871"," 0.01923220"," 0.16988313","-0.07180829","-0.25029007"," 0.64372544","-0.52722500","-0.26412758","-0.03459015","-0.90253189"," 0.18996314","-0.66356320","-0.75273446"," 0.19577000","-0.46127873"," 0.71428987"," 0.20083276","-0.12900472"," 0.16827709","-0.42805381","-0.30494219","-0.34888864","-0.03775710","-0.15423416"," 0.19355342","-0.26873640","-0.47686823","-0.32390061","-0.35827316"," 0.07412405","-0.86719235"," 0.66130511","-0.20028951","-0.14734151"," 0.35649687","-0.15925023"," 1.55181678"," 6.68843420","-0.36482765","-0.03448789","-0.54545706"," 0.10529512","-0.71734943","-0.15795639"
"MGDG (14:0/18:1)","-0.56726976","-0.53478437"," 3.04728038","-0.30861708"," 1.28997090"," 0.59436319","-0.14583597","-0.49770747","-0.95640726","-0.40922373","-0.39233661"," 1.14826462","-0.53239604","-0.55495073","-0.21301219","-0.55817866","-0.07656317"," 0.65651951"," 0.25311557","-0.45237945"," 1.91982157","-0.13982197","-0.83137512","-0.66336341"," 1.10821563","-0.94733636","-0.48857375","-0.37920850","-0.31910835","-0.02987245"," 0.27786669","-0.21164993"," 0.62228996","-0.72011520","-0.33643301","-0.69749290","-0.86004400","-0.59474099","-0.38371642","-0.42352409","-0.09214732","-0.26181121"," 0.18614016","-0.85133816"," 1.20055319","-0.74844935","-0.34825964","-0.32827638","-0.24961627"," 3.13463135"," 0.30346160"," 0.28713638"," 4.05970827","-0.78928786","-0.11849266","-0.30260671","-0.09414459","-0.73872708","-1.05542767"," 0.11528485"
"D-Glucosyl-beta-1,1-N-palmitoyl-D-erythro-sphingosine","-0.476629368","-0.688759414"," 1.191670433"," 0.002892884"," 1.232429574","-0.028018218","-0.218307101","-0.224883570","-0.680224491","-0.638094207","-0.313613649"," 2.570214794","-0.969057305","-0.361142628"," 4.402636294","-0.870587364"," 0.935846743"," 3.079812178","-0.717529833","-0.901245275"," 0.081430446","-0.351108801","-0.634855813","-0.526133790","-1.000380239","-0.719030074","-0.264471328","-0.113282691"," 0.368855985"," 1.220907825","-0.087913635"," 1.298186934"," 0.369496793","-0.428382963"," 0.559417572","-0.344670975","-0.414056655","-0.587147834","-0.448078874","-0.677285905","-0.331748709","-0.278595199"," 0.385342518","-0.605918692","-0.072960178","-0.482575895","-0.532512945","-0.109053176"," 0.390848546","-0.516403656"," 1.194805687"," 0.372829992"," 0.730949534","-0.854046778","-0.888751839"," 0.413551913","-0.635396985","-0.716800268","-0.836204612","-0.256265711"
"SHexCer d56:2","-1.21726682","-0.59222173","-0.45612716","-0.23252371"," 1.43236254"," 1.89503994","-0.21501386"," 0.03477242","-0.96957863","-0.72931172","-0.39105501"," 0.34614541"," 1.74535075"," 0.25350100","-0.31851797","-1.11958742"," 2.89285750"," 2.15047570","-0.94726002","-0.96921968"," 0.41047952"," 1.34824403","-0.36313607","-0.26713725","-0.61813659","-0.74359171","-0.64796036","-0.12880932"," 0.14919331"," 1.45489833","-0.91363891","-0.04931778"," 1.14874234"," 0.21724995"," 1.20062446","-0.35394649"," 0.28357447","-0.59245182","-0.50741459","-0.70953086"," 0.61566664","-1.12628962","-0.72090074","-0.48082827","-0.89333655"," 1.01895508","-1.65528472"," 0.10090762","-0.38483663","-0.89365361"," 2.07278498"," 2.29986592","-0.15221222","-0.45575156","-1.08013598","-0.50325432"," 0.05871698","-0.34191325","-0.46636880"," 0.07711282"
"7-Ketodeoxycholic acid","-0.484647855","-0.497622116","-0.505995168","-0.496269904","-0.497439386","-0.506331711","-0.496179961","-0.505126450"," 2.707997327","-0.486615715","-0.510889610","-0.507458701","-0.438233515","-0.337998151","-0.319007163","-0.245894002","-0.506382676","-0.511011054","-0.454793881"," 0.229838794"," 2.156400930"," 3.832989275","-0.498063241","-0.507121981"," 3.456758393","-0.480268266","-0.474821250"," 0.754420184"," 0.136783122","-0.394883975"," 1.203658414","-0.492366837","-0.503307235","-0.380398558","-0.508274292","-0.007699188","-0.491905960","-0.291637167","-0.507625586","-0.488880414","-0.499976517","-0.508245440","-0.506624022","-0.148857880","-0.371192456","-0.503447110","-0.504427697","-0.457830012","-0.454014144"," 1.048168175","-0.464720304","-0.509420242","-0.099966872"," 0.735219081","-0.002936371","-0.450666356"," 1.920447273","-0.460092114"," 0.260757696"," 1.834129842"
"Glycoursodeoxycholic acid","-0.16987806","-0.20971780","-0.21881666","-0.21199777","-0.22926041","-0.19967405","-0.22290939","-0.13730446","-0.19596704","-0.15080291","-0.22424375","-0.22969747","-0.22739580","-0.18734666","-0.22396458","-0.14571446","-0.22036389","-0.22899872","-0.18561934","-0.14223538","-0.20270494","-0.07290450","-0.22758693","-0.10003044","-0.17713419","-0.19320986","-0.17494477","-0.13008672","-0.19836189","-0.20618320","-0.03395614","-0.22735532","-0.22626213","-0.13167826","-0.21685711","-0.13573104","-0.11778982"," 6.31365991","-0.21577952","-0.20862811","-0.18938279","-0.21515145","-0.21491582","-0.12494180","-0.11246758","-0.21228143","-0.22402006","-0.22635227","-0.18695990"," 4.13561216","-0.21037635","-0.22389756","-0.18679577","-0.14253466","-0.13209805","-0.22931972","-0.20260267","-0.06423439","-0.02056665","-0.17127969"
"Citraconic acid","-0.20272011","-0.43898225","-0.72119452","-0.71747382","-0.72822191"," 1.19459590"," 0.34889966","-0.72743029","-0.60188377","-0.65834007","-0.27435587","-0.49193485","-0.69832465","-0.55923227","-0.36726144"," 0.11158407"," 1.67891130","-0.46364470","-0.59214070"," 0.21585209","-0.34325009"," 0.07334069","-0.54866251","-0.50348543","-0.29699417","-0.42929872"," 2.22284391"," 2.36145574","-0.49184863","-0.31626726","-0.45935384"," 0.86353925","-0.70734964"," 1.73759109","-0.51917420","-0.09572599","-0.74670289"," 0.15395938"," 2.38800773","-0.57379547"," 0.64714848","-0.56398658","-0.24418464","-0.30029948","-0.41509561","-0.54358842","-0.79763512"," 0.22174038","-0.10200212","-0.11781276","-0.32686749"," 1.20279336"," 4.56213166","-0.80500661"," 0.29807130","-0.58041182","-0.60291111"," 0.33562548","-0.35290074","-0.59033893"
"Chrysin","-0.133523329","-0.122740991","-0.133436608","-0.132748119","-0.132686409","-0.133235806","-0.133648746","-0.132343277","-0.130942772","-0.133079079","-0.133283127","-0.132419042","-0.132039241","-0.118125933","-0.124441209","-0.133482796","-0.133835143","-0.133239427","-0.133471016","-0.124028564","-0.003470735","-0.094881017","-0.131099163","-0.132702521","-0.130918871","-0.133316270","-0.133306464","-0.131930244","-0.132765608","-0.132141057","-0.132581939","-0.132062832","-0.133160250","-0.132075724","-0.133457993","-0.132533143","-0.132486804","-0.132547202","-0.132625690","-0.133023458","-0.133006573","-0.133354536","-0.133600389","-0.132652498","-0.132776062","-0.133513870","-0.127761393","-0.128677613","-0.134189799","-0.131928160","-0.133592509","-0.133460974","-0.133377648","-0.132167361","-0.133922369","-0.133080689","-0.128477627","-0.133199687","-0.133134452"," 7.615711832"
"Glycocholic acid","-0.23776097","-0.23632924","-0.23952888","-0.23639357","-0.23658208","-0.23809607","-0.23750145","-0.15686944","-0.21538832","-0.20905121","-0.22272655","-0.22986513","-0.22633181","-0.21333396"," 0.07563474","-0.21543294","-0.23801208","-0.23859073","-0.23655121"," 0.06787624"," 0.29818016","-0.22543160","-0.24083663","-0.19531496","-0.16388987","-0.23930314","-0.23465754","-0.16154731","-0.11503027","-0.21084986","-0.15640068","-0.23420908","-0.24043140"," 0.09830651","-0.24075420","-0.17279189","-0.10227083"," 5.72347719","-0.22973869","-0.22307358","-0.11240314","-0.23589569","-0.23747580","-0.17184492","-0.22355963","-0.23673841","-0.24049120","-0.22673073","-0.23903899"," 4.86565223","-0.23454639","-0.22184455","-0.23817181","-0.19050826","-0.21430714","-0.23613940","-0.19957891","-0.04258026"," 0.05870273","-0.23509732"
"N-Acetylvaline","-0.45573442"," 0.19355639","-0.46493700"," 0.06201614"," 5.05879091","-0.20647207"," 0.56523518","-0.21331579","-0.33738096"," 0.38624879","-0.03617756"," 0.33857661","-0.20738206","-0.45676732"," 0.29021318","-0.17425907","-0.45207345"," 0.27493829","-0.27432414","-0.27397376","-0.62815150","-0.37221923","-0.44017908"," 1.51891839","-0.54579441","-0.44359827","-0.39626926","-0.52375857","-0.36574923","-0.01259161","-0.24490078","-0.03101144"," 1.09689747","-0.60246041","-0.13100133","-0.61064663","-0.34970740","-0.59181147","-0.26224760","-0.08889610"," 0.30578430","-0.46361018","-0.09744789","-0.56659940"," 0.08010696","-0.37817675","-0.43031258"," 0.04279869","-0.51665091","-0.54727551"," 0.73511725","-0.45224560"," 0.58131353","-0.53559361"," 0.20287432","-0.23672820","-0.57629495","-0.52731139","-0.74235851"," 4.53101102"
"(+/-)12(13)-DiHOME","-0.438074144"," 0.741702413","-0.369875423","-0.042551338","-0.480868257","-0.468470877","-0.480725218","-0.534217201","-0.490523814"," 1.735012116","-0.622498417"," 3.470172160","-0.651493377","-0.368956185"," 0.005164092","-0.041702686","-0.697548792","-0.452249306","-0.610037170","-0.485753100","-0.420117093","-0.262506350","-0.566315674","-0.536655859","-0.453336007","-0.691321107"," 0.863646630"," 1.040645473"," 0.099120019","-0.775559207"," 0.202870097"," 0.397594579","-0.725616243","-0.525843991","-0.156340930","-0.693977038","-0.580362932"," 1.037830524","-0.554013228"," 0.082168773","-0.437262321","-0.264890776"," 1.291548731","-0.269171417","-0.135693581","-0.326279007","-0.282837059","-0.143352731","-0.210571489"," 1.134131464","-0.230815841"," 2.966294634"," 4.299194085","-0.502541742","-0.623565091","-0.646346767","-0.537911905","-0.347628601","-0.054557736","-0.176158760"
"5-OxoETE","-0.475275918","-0.234804489","-0.818978174"," 0.310345173"," 0.054034756","-0.212885733","-0.574270580"," 0.004688668"," 1.553702444"," 0.610759423","-0.586532786","-0.552653149","-0.663693036"," 0.037885313"," 0.682642268","-0.439097327","-0.581689280","-0.369378191","-0.586375873"," 4.872150739","-0.799894241"," 0.926405813","-0.264163427","-0.538583724"," 0.166085718","-0.806010216","-0.055386496","-0.225540211","-0.199204634"," 0.615258516"," 0.688961712"," 0.102476585","-0.035941887"," 0.231112788","-0.240993161"," 0.234242706","-0.544963762","-0.763745170"," 0.290972181"," 0.108940120","-0.480378314","-0.729965829","-0.294925322","-0.237659832","-0.478613632","-0.320071025","-0.219917801","-0.490525353","-0.534377014","-0.678674069","-0.304637916","-0.450325962","-0.613118344"," 0.232270005","-0.508781474","-0.334286118"," 0.120906579"," 0.092902231"," 4.437258437"," 0.872317291"
"Anacardic acid","-0.90741981"," 2.24324329","-0.43707683"," 1.26602674","-0.67658286","-0.56067183"," 2.21184447","-0.14101961","-0.21859884","-0.14301508","-0.56379602","-0.78702542"," 0.84739676","-0.44712849","-0.82602046","-0.87085510"," 0.98671991","-0.60835817"," 1.70125158","-0.39244289"," 0.82350621","-0.74882191","-0.41383340","-0.54799004"," 3.37901818","-0.47816111","-0.22331504","-0.44858221","-0.77603138","-0.08521773","-0.81122833"," 0.05253817"," 0.84342418"," 0.86488448"," 2.39975105","-0.42912164","-0.45689658","-0.77551755","-0.28501749"," 2.31923160","-0.31164461","-0.76501138"," 0.08144724"," 0.39666198"," 1.18900003","-0.17877647","-0.27734721","-0.59164177"," 0.14781510","-0.76464479","-0.50741171","-0.78509862"," 1.01759629"," 0.09053654","-0.95937149","-0.79614615","-0.96780951","-0.10107081","-0.86678132","-0.92939217"
"Bilirubin","-0.23828516","-0.25395362","-0.23499813","-0.31237575","-0.33177044"," 0.03973003","-0.34039478","-0.34635611","-0.18053111","-0.30988920","-0.33053320","-0.34177089","-0.22721058","-0.34438983"," 4.90960326","-0.30502772","-0.34419236","-0.01152508"," 0.08458175"," 0.02089674","-0.01391667","-0.33518000","-0.34772435","-0.32321085","-0.29681852","-0.34129268","-0.23401010","-0.29549415","-0.25560024","-0.33822317","-0.26488396","-0.32060992","-0.34013997"," 0.08347777","-0.34334944"," 0.10730277","-0.30084561"," 1.02433736","-0.32773971","-0.31319059","-0.24759867","-0.34329046","-0.34319050","-0.29838036","-0.22691701","-0.32184854","-0.33818125","-0.27593044","-0.20172980","-0.33979511","-0.33492999","-0.31757116"," 0.05049105"," 0.42416297","-0.34821335"," 0.05155270"," 1.84011707","-0.32457568"," 5.09865303","-0.02732028"
"Glutaric acid","-0.73006637"," 2.41037558","-0.62922732"," 0.40719791"," 3.01576616","-0.61099812","-0.34902901","-0.04982010","-0.60216426","-0.33119603","-0.14493878","-0.36168479"," 0.50585175","-0.40329200","-0.72781314","-0.54246559","-0.06112902"," 1.63581112"," 3.64495912","-0.57815607","-0.73486358","-0.31965528","-0.23437986","-0.15048419"," 0.23265301","-0.56163526","-0.09154643","-0.56797943","-0.59643585","-0.66851814","-0.32344154","-0.63746759","-0.71229374","-0.65112054"," 2.56846538","-0.69014253","-0.03456433","-0.72800074"," 0.10784502","-0.22256700"," 1.55967510","-0.16473222"," 0.29493080","-0.24606767","-0.23843297","-0.40574503","-0.32972914","-0.19001669","-0.19322517","-0.68422506"," 0.90887178"," 2.41010820","-0.49640913","-0.67079929","-0.70609830"," 0.09951129","-0.71956183","-0.52697646","-0.75286733"," 0.56994071"
"Lysopc 18:3","-0.70660431"," 1.63672930","-0.88090363"," 1.19385945"," 0.38698871"," 0.41749000","-0.77251334"," 1.94486370"," 0.53839072","-0.37077512","-0.51135870","-0.37785528"," 2.53125717","-0.55259440","-0.86593531"," 0.42604849"," 0.34748719"," 1.03656140","-0.85063789","-0.84906141","-0.97757827","-0.03439904"," 0.10778700","-0.64735662"," 2.86578834"," 3.25493028","-0.39866565","-0.56948140","-0.53945973"," 0.46546218","-0.48247611"," 0.12534605"," 0.31106120","-0.82555282","-0.37630268","-0.53549935","-0.77656737","-0.76398318"," 0.55563904"," 0.11775431"," 1.80130211"," 0.83336289","-0.52827631","-0.63658045","-0.81410690","-0.47731335","-0.73860287","-0.43868828","-0.84421511","-1.04327884"," 0.84141530"," 1.45044662","-0.53484420","-0.78576886","-0.29589953"," 0.08048904","-0.24643584","-0.54531052","-0.95462511","-0.72095273"
"Isorhapontigenin","-0.20393420"," 0.08321460","-0.14517892","-0.24444755","-0.24597597","-0.23205077","-0.03415896","-0.11656173","-0.24318197","-0.24631252"," 0.98165552","-0.24084181"," 0.39055453","-0.24716796","-0.24088982"," 0.01926924","-0.17320776","-0.19601321","-0.18916220","-0.04445624","-0.24382731","-0.23397020","-0.23975235","-0.17491768","-0.22808874","-0.23468612"," 0.02023744"," 0.12674831","-0.24576526","-0.24113320","-0.23478785","-0.23654397","-0.20611907"," 0.68845502","-0.20437635","-0.24179314","-0.23865466","-0.23492465","-0.08331996","-0.22823926","-0.19146516","-0.15893287"," 0.11173053"," 0.49839965","-0.23528200","-0.23251270","-0.14162753","-0.23586083","-0.22463923","-0.24297427","-0.13315551","-0.22442415","-0.24656936"," 7.40590488","-0.24896179","-0.23458394","-0.24896135","-0.19421216","-0.24335980","-0.09420569"
"Methyl EudesMate","-0.34105404","-0.22891522","-0.35175752","-0.32731115","-0.29617508","-0.33918985","-0.34431884","-0.33889797","-0.35163660","-0.28798447","-0.34306498","-0.32237238","-0.33493336","-0.33712829","-0.34756724"," 0.20228804","-0.27173549"," 0.44204069"," 0.13840081","-0.32006154","-0.34803267","-0.33101499","-0.28296570"," 1.94283294","-0.34805816","-0.34785071","-0.22863471"," 4.43638857","-0.34318364","-0.32973232"," 0.35376253","-0.09633104","-0.32833907","-0.34261798"," 0.88838661","-0.34115337"," 5.23514763","-0.34341516","-0.33750317","-0.33931345"," 0.90433106","-0.33486480","-0.34356535","-0.17920619","-0.23007198","-0.16739260","-0.34328292","-0.33272616","-0.34543936","-0.35105467","-0.34191814"," 1.04356032","-0.34494207","-0.34721170","-0.35144419","-0.34468057","-0.34903222","-0.34762694","-0.28803733","-0.07239183"
"Taurochenodeoxycholic acid"," 0.63845743","-0.31024689","-0.35138580","-0.33992851","-0.33990337","-0.33923934","-0.34594309","-0.33255776","-0.34661419","-0.28120253","-0.34108949","-0.34268359"," 3.04653708","-0.22098352","-0.34739437","-0.34751486","-0.33607214","-0.35052125","-0.34023390"," 1.55063879","-0.34884421","-0.34530109","-0.33471930","-0.11899055","-0.34340612","-0.34116487","-0.34775031","-0.34797553"," 0.35122547","-0.33741069","-0.34660168","-0.34671954","-0.33748134"," 1.17305990","-0.33254275"," 0.02606306"," 1.97304847"," 5.76565045","-0.34227314","-0.33704519","-0.32496510","-0.34234032","-0.34477424"," 1.70391396","-0.34443430","-0.34697095","-0.34521184","-0.27955573","-0.16518282","-0.34638085","-0.34372341","-0.08365794","-0.34192303","-0.30042832","-0.34537928","-0.33286805","-0.34984043","-0.10224969","-0.31629206","-0.35067535"
"Soyasaponin I","-0.222961992","-0.221874659","-0.212890158","-0.224401606","-0.226042786","-0.209466489","-0.226112424","-0.209091023","-0.212655954","-0.210164547","-0.226105663","-0.225775821","-0.170781904","-0.221829817"," 0.238451803","-0.197761581","-0.225349040","-0.223362642","-0.216185654","-0.224596339","-0.205560355","-0.223576056","-0.223933145","-0.225391280"," 0.005099562","-0.221999415","-0.225180660","-0.174991579","-0.217263837","-0.224371303","-0.219756512","-0.224678834","-0.223990649","-0.190602548","-0.225484618","-0.219403828","-0.214167533","-0.223135550","-0.217909025","-0.218749429","-0.224313359","-0.219574491","-0.225368996","-0.211782173","-0.206360640","-0.208765009","-0.225665834","-0.224790628","-0.225391354","-0.224075351","-0.224405925","-0.225658925","-0.217382826"," 1.043750141","-0.226424209","-0.224250751"," 5.328922875","-0.224520829","-0.034905073"," 5.184968245"
"Mevalonic acid","-0.27749909","-0.28036320","-0.25993758","-0.16586813"," 0.16045805","-0.22942176","-0.28467401","-0.26678462","-0.31470735","-0.04324091","-0.29968389"," 0.02072628","-0.25564812","-0.25238554","-0.23796028"," 1.24097813","-0.30031213","-0.21953144","-0.25844646","-0.27333831","-0.18331456"," 0.37406474","-0.09051362","-0.12239689","-0.18666080","-0.31841555","-0.09533306"," 7.09350602","-0.09061245","-0.23994697"," 1.97407700","-0.24617708","-0.27405597","-0.28289765","-0.04384037","-0.25733605","-0.12485453","-0.31926234","-0.18380175","-0.18034054","-0.16952038","-0.20678998","-0.27157671","-0.20998513","-0.24202351","-0.24531768","-0.17341049","-0.21794366","-0.27382600","-0.20394303","-0.28781541","-0.12112342"," 0.17074046","-0.27227577","-0.27385638","-0.20476517","-0.08776573","-0.25869886","-0.33118319"," 0.47683283"
"Ursolic acid","-0.372818012","-0.223291985","-0.294327000","-0.384870828","-0.348061582","-0.113885282","-0.443131930","-0.240362726","-0.424041967","-0.439057258","-0.451689568","-0.194972047","-0.350885516","-0.422881247"," 1.395711042","-0.408580837","-0.232194754"," 1.843671871","-0.417650086","-0.429069253","-0.183501006","-0.380351870","-0.451806918","-0.123499224"," 6.388212780"," 1.679794933","-0.425571104"," 0.139091522","-0.400555788","-0.418555284","-0.436032705"," 0.304925243"," 0.610006322","-0.449299810"," 0.978794627","-0.351489717","-0.400203301","-0.393601387","-0.382498059","-0.443151908","-0.402859006"," 0.298903954"," 0.086616640","-0.442398786","-0.300995854","-0.451748253","-0.405420560","-0.001024665","-0.425089734"," 0.092889830"," 0.385978460","-0.403415887"," 0.905314466","-0.451716707"," 1.093695446","-0.355436208","-0.163251145","-0.435729719","-0.445706818","-0.086923834"
"Pimelic acid","-0.43110759"," 0.71472768","-0.34987615"," 0.10461948"," 0.21657714","-0.14689509"," 0.05205544","-0.20965195","-0.42433592","-0.26716127","-0.15516266","-0.10557137"," 0.52089619","-0.36194701","-0.40063353","-0.39554045"," 0.08825761","-0.22474734","-0.35220052","-0.31798574","-0.33191156","-0.09131327","-0.17740645","-0.29871974","-0.26413113","-0.26840932","-0.26771038","-0.35783706","-0.22556196"," 4.65655786","-0.38348174"," 0.04152499"," 4.92415945","-0.35678155","-0.07295750","-0.37142498","-0.40666047","-0.36189910"," 0.10158376","-0.02119433","-0.28985223","-0.30340808","-0.14766567","-0.29934235","-0.32857526","-0.25965662","-0.24494737","-0.29692745","-0.35791900","-0.34551607"," 2.75877494","-0.14857792","-0.25373186","-0.40763717","-0.33784187","-0.30358970","-0.39923452","-0.26990628","-0.45443894","-0.33074904"
"1-(1,8-dihydroxy-3,6-dimethyl-2-naphthyl)ethan-1-one","-0.602424886","-0.609749738","-0.842833640","-0.440319284","-0.160971089"," 0.171072421","-0.785868226"," 0.099847509"," 1.386392371","-0.237044973","-0.497450449","-0.687614631","-0.708205921","-0.389779943","-0.528222492"," 0.106932209","-0.794475052","-0.155667909","-0.452769064","-0.545921642"," 3.065560198"," 0.353580293","-0.140293884"," 0.868023077"," 0.605144334","-0.694686122","-0.601266686"," 0.185429329"," 0.127133680","-0.336074131"," 0.956267029","-0.626877303","-0.197672601","-0.177816068","-0.475390413"," 0.472608248","-0.655068135","-0.249623960"," 2.349050920","-0.393791740","-0.195720261","-0.658788264","-0.677108596"," 0.024143493"," 0.308057272","-0.431130889","-0.097196703","-0.712331007","-0.408109192","-0.367273045","-0.542131308","-0.454960460"," 0.008512786"," 0.783810297"," 0.197778994","-0.343459997","-0.912224042"," 5.169466930"," 0.494698286"," 1.054804066"
"2-Methoxyestrone","-0.503283210","-0.106915858","-0.682469018","-0.415819632","-0.417994142","-0.417928486","-0.494018895","-0.336620125","-0.249216655"," 2.195377116","-0.235167777","-0.577652144","-0.503702371","-0.262719658"," 1.925554204"," 2.170017674","-0.553733066","-0.453337727","-0.449518586"," 4.894989799","-0.520999931"," 0.002200762","-0.364130201","-0.386376459","-0.535291650","-0.670723317","-0.090786944","-0.392313750"," 2.048314321","-0.372995015"," 0.538180164"," 0.079445739","-0.269601024","-0.235452272","-0.054239099"," 0.720481198","-0.597677246","-0.259972784","-0.453360283","-0.149024452","-0.354466887","-0.690556524","-0.236272869","-0.213559687","-0.452621762"," 2.755990647","-0.542546771","-0.543853111","-0.639922645","-0.569736237"," 0.482492362"," 0.205254907","-0.603301333","-0.233088818"," 0.403485279","-0.054954526","-0.510812474","-0.541146503"," 0.052220885","-0.274123135"
"D-3-Phenyllactic acid"," 0.09858164","-0.47921166","-0.34836075","-0.46278514","-0.38711800","-0.49931484","-0.44866884","-0.48965527","-0.45268325","-0.17348388","-0.50210829","-0.49166169","-0.45303250"," 1.39740532","-0.50198088","-0.20974008","-0.47674314","-0.46701784","-0.45210433"," 0.18360659","-0.50371582"," 1.40435379"," 0.88848064"," 1.75309516","-0.48305709","-0.49190811"," 1.19244876","-0.34640866","-0.45051415","-0.37358897","-0.31489010","-0.47527651","-0.42487814","-0.33009295","-0.44047507","-0.45709387"," 0.65882400","-0.38262954","-0.48547425"," 0.51764153"," 1.01859821"," 1.16269933","-0.48560855","-0.03316061"," 0.08394185"," 0.03111441","-0.50409925"," 0.61884318","-0.49084857","-0.29860126","-0.49962367"," 0.80555053"," 0.07264437","-0.32621926","-0.30527118","-0.50004121","-0.50440723"," 6.13241824","-0.50597325","-0.31071988"
"Cinnamoylglycine","-0.25778214","-0.21199370"," 7.42109595","-0.23588425","-0.21774651","-0.15120475"," 0.48259181","-0.28605716"," 0.29265134","-0.16530419"," 0.61886262","-0.27771839","-0.02019383","-0.16796987","-0.09797362"," 0.11247547","-0.21265780","-0.16381584"," 0.60498281","-0.17179924","-0.26755475","-0.23424536","-0.22398304","-0.06440674","-0.27045630","-0.31442638","-0.17879860","-0.23212425","-0.27988426","-0.21145748","-0.22977150","-0.12077808","-0.17610963","-0.29887082","-0.27447943","-0.13468918","-0.26981612","-0.32055832","-0.10052796"," 0.03394271","-0.08306180","-0.16255630","-0.14438588","-0.23496288","-0.24283732","-0.27453627","-0.24740506","-0.13361342","-0.28337665","-0.20461580","-0.22186995","-0.18855831","-0.16577220","-0.12290866","-0.18730715"," 0.03969832","-0.26919812"," 0.71414181","-0.07312562","-0.23931195"
"4-methyl-2-oxo-1,2-dihydroquinoline-3-carbonitrile","-0.59018940","-0.28643411","-0.79085591"," 0.43653396"," 0.28749017","-0.52650995"," 0.16415510"," 0.22798270","-0.38580227","-0.66318625"," 0.14997818"," 0.44547573","-0.32132870","-0.57019247","-0.63400028","-0.48487447","-0.09453946","-0.56828051"," 0.20556218","-0.60442638","-0.67029513"," 0.39047493"," 1.72139809"," 0.25103551","-0.65893261"," 0.57893177","-0.34714713"," 5.21171103","-0.71668147"," 0.10458998","-0.82545192","-0.04899520","-0.16467489"," 0.11072925","-0.02677213","-0.16708503","-0.25112814","-0.36042734"," 0.17521540","-0.52252175"," 1.08695886","-0.84086353"," 0.54081023","-0.08722292","-0.42659255"," 1.99119700","-0.63846832","-0.62279005"," 0.17921550","-0.82365706"," 0.09903417"," 0.43990739"," 3.33463641","-0.34399344","-0.70198874","-0.57574711","-0.86090526","-0.49835324","-0.04622475","-0.38548365"
"Sodium cholate","-0.716334843","-0.854480899","-0.572770167","-0.701141795","-0.769273054","-0.817463405","-0.747420891","-0.778679914"," 0.090434688","-0.552859362","-0.356447310","-0.798980716","-0.314148939"," 0.024730654"," 0.350112849","-0.065253822","-0.143796389","-0.502967755","-0.509270967"," 0.939695450"," 2.169129253"," 3.881149351","-0.821648933","-0.618919078"," 1.648266277","-0.902785060","-0.436209636"," 0.385600185"," 0.465400336","-0.768643499"," 0.257343966","-0.021528931","-0.644276739"," 0.012031777","-0.789594234"," 1.378079777","-0.394437824"," 0.739568218","-0.709380194","-0.762050147"," 0.262688527","-0.761184609","-0.005416482"," 0.696574439","-0.398496528","-0.882844563","-0.743635798"," 1.010255126","-0.757099373"," 0.993496370"," 0.033682696","-0.122875116"," 0.394127100","-0.096161293"," 1.720729079","-0.664451251"," 0.578867733","-0.204544689","-0.753873789"," 3.429384141"
"3-methyl-5-oxo-5-(4-toluidino)pentanoic acid","-0.591994552","-0.315286271"," 4.657657621","-0.094628301","-0.381370945","-0.411406428"," 1.452262061"," 0.472571401","-0.108960266","-0.550398355"," 0.569700031","-0.417657544","-0.165720635"," 3.626661703","-0.230190218","-0.472521776"," 0.187814111","-0.530688736"," 2.663007935","-0.506038648","-0.557151607","-0.476226947"," 1.938137141"," 0.216108066","-0.604754034","-0.451905046","-0.011461501"," 1.325681901","-0.600100471"," 0.008023948","-0.572833226","-0.189997314","-0.405228910","-0.354105661","-0.250835101"," 0.153364094"," 0.454101831","-0.566806508"," 0.144242440","-0.069940939","-0.312540125","-0.419255342","-0.080466605","-0.496028933","-0.483813032","-0.570036116","-0.290428529","-0.409811135","-0.461110519","-0.556279694","-0.473080362","-0.176078996","-0.518539820","-0.139278725","-0.356917829","-0.586646859","-0.617651761"," 0.126350319","-0.593935645","-0.565574635"
