Genus,group,A2,Aerococcus,Alcaligenes,Alicycliphilus,Anaerostipes,CAG-873,Candidatus_Saccharimonas,Caproiciproducens,Castellaniella,Catenibacterium,Catenisphaera,CHKCI001,Christensenellaceae_R-7_group,Clostridium_innocuum_group,Coprobacter,Coprococcus,Coriobacteriaceae_UCG-002,Desulfovibrio,Diaphorobacter,Eggerthella,Erysipelatoclostridium,Eubacterium,Eubacterium_brachy_group,Eubacterium_eligens_group,Eubacterium_siraeum_group,Ezakiella,Facklamia,Faecalibaculum,Fusicatenibacter,Gardnerella,Gemella,Haemophilus,Intestinimonas,Jeotgalicoccus,Lachnospiraceae_AC2044_group,Lachnospiraceae_ND3007_group,Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-004,Lachnospiraceae_UCG-010,Lachnospiraceae_XPB1014_group,Marvinbryantia,Megamonas,Morganella,Ochrobactrum,Paraprevotella,Peptoclostridium,Prevotellaceae_UCG-003,Pseudoalteromonas,Psychrobacter,Rikenella,Roseburia,Ruminobacter,Ruminococcus_gnavus_group,Ruminococcus_torques_group,Senegalimassilia,Serratia,Sutterella,Terrisporobacter,Turicibacter,UBA1819,UCG-002,UCG-004,UCG-010,Uruburuella
D24,Disease,0,0,0,0,0.73182147,0,0,0.004254776,0,0,0,0,0.068076416,0,0,0.621197294,0,0.029783432,0,0.025528656,0.136152832,0,0,0.097859848,0.157426711,0,0,0,1.212611156,0,0.025528656,0,0,0,0,0.02127388,0,0,0.131898056,0,0.038292984,0.08509552,0.302089095,0,0,0,0,0,0,0,0.348891631,0,0.195719695,0.523337446,0.076585968,0,0,0.012764328,0.04254776,0.051057312,0.246777007,0,0.025528656,0
D28,Disease,0,0,0,0,0.531630077,0,0,0,0,0,0.01147403,0,0.294500115,0.195058518,0,0.122389658,0,0.003824677,0,0.17975981,0.172110457,0.126214335,0.003824677,0.099441597,0.003824677,0,0,0,1.143578368,0,0,0,0.003824677,0,0,0.034422091,0,0.068844183,0.030597415,0,0.01147403,0.038246768,0,0,0,0.01147403,0,0,0,0,0.401591066,0,0.298324792,2.222137229,0.019123384,0,0.015298707,0.015298707,1.449552513,0.25242867,0.091792244,0,0,0
D29,Disease,0,0,0,0,0.040723982,0,0,0,0,0.556561086,0,0,0.14479638,0.018099548,0,0.040723982,0,0,0,0.013574661,0,0.013574661,0,0.063348416,0.018099548,0.004524887,0,0,0.135746606,0,0.031674208,0.009049774,0,0,0,0.049773756,0.013574661,0,0.009049774,0,0,25.80090498,0,0,0.126696833,0,0,0,0,0,0.149321267,0,1.122171946,0.298642534,0,0,0,0.135746606,0.040723982,0.07239819,0.135746606,0,0.004524887,0
D31,Disease,0,0,0,0,0.00465376,0,0,0,0,0,0,0,0,0.511913626,0,0,0,0,0,0.018615041,0.134959047,0.20476545,0.088421445,0.00465376,0,0,0,0.00930752,0.39556962,0,0.023268801,0,0.069806404,0,0,0,0,0.023268801,0,0,0,0.083767684,0,0,0,0,0,0,0,0,0.107036485,0,0.437453462,1.149478779,0.479337305,0,0.051191363,0,0,0.414184661,0.00930752,0,0,0
D33,Disease,0,0,0,0,0.296713036,0,0,0,0,0,0,0,0.231204963,0,0,0.855458364,0,0,0,0.023120496,0.088628569,0.015413664,0.01926708,0.173403722,0.065508073,0,0,0,1.549073253,0,0,0,0,0,0,0.123309314,0,0,0.385341605,0,0.038534161,0.034680744,0.003853416,0,0.003853416,0,0,0,0,0,1.734037224,0,0.327540365,1.17143848,0,0,0.034680744,0.003853416,0.065508073,0.100188817,0.157990058,0,0,0
D35,Disease,0,0,0,0,0.346126051,0,0,0.007607166,0,0,0.646609106,0,1.456772279,0.045642996,0,0.258643642,0,0,0,0.057053745,0.022821498,0.015214332,0.003803583,0.03803583,0.034232247,0,0,0,2.970598304,0,0.003803583,0,0.015214332,0,0,0.057053745,0.03803583,0.007607166,0.030428664,0,0.019017915,0.117911072,0,0,0.019017915,0.022821498,0,0,0,0,0.764520178,0,0.220607813,0.418394127,0,0,0.011410749,0.015214332,0.057053745,0.10269674,0.909056331,0,0.03803583,0
D41,Disease,0,0,0,0,0.228387752,0,0,0,0,0.021147014,0,0,0.524445948,0,0,0.592116393,0,0,0,0.008458806,0,0,0,0.321434613,0.02960582,0,0,0,1.239215023,0,0.008458806,0.021147014,0,0,0,0.093046862,0,0.012688208,0.054982237,0,0.088817459,2.706817797,0,0,0.490610726,0,0,0,0,0,1.294197259,0,0.088817459,0.816274742,0,0,0,0.008458806,0.038064625,0.021147014,0.503298934,0,0.050752834,0
D42,Disease,0,0,0,0,0.273180774,0,0,0,0,0,0,0,0.688890649,0.079182833,0,0.578034682,0,0,0,0.114815108,0.083141975,0,0.003959142,0.269221633,0.063346267,0,0,0,3.179190751,0,0.019795708,0.091060258,0,0,0,0.170243091,0.019795708,0.110855966,0.031673133,0,0.059387125,0.249425924,0,0,0.035632275,0.0475097,0,0,0,0,8.575500831,0,0.578034682,5.578430596,0,0,0,0,0.015836567,0.07126455,0.122733391,0,0.011877425,0
D43,Disease,0,0,0,0,0.026507119,0,0,0.007573463,0,0,0,0,0.015146925,0.071947895,0,0.015146925,0,0,0,0.060587701,0.03029385,0,0,0,0,0,0,0,0.102241745,0,0.003786731,0,0,0,0,0,0,0,0,0,0,0.03029385,0.026507119,0,0,0.015146925,0,0,0,0,0.037867313,0,0.583156619,0.143895789,0.003786731,0.003786731,0.003786731,0,0.018933656,0.121175401,0.026507119,0,0,0
D44,Disease,0,0,0,0,0.337103903,0,0,0,0,0,0.014982396,0,0.262191924,0.011236797,0,0.194771144,0,0,0,0.082403176,0.029964791,0,0,0.067420781,0.063675182,0,0,0,0.460708667,0,0,0,0,0,0,0.029964791,0,0,0.026219192,0,0.082403176,0.157315155,0,0,0.108622369,0,0,0,0,0,0.423252678,0,0.449471871,0.262191924,0,0,0.007491198,0,0.018727995,0.063675182,0.318375908,0,0.026219192,0
