Species,H1,H3,H5,H9,H10,H11,H14,H15,H17,H18,H19,H20,H21,H22,H24,H25,H26,H29,H31,H32,H33,H35,H37,H38,H39,H40,H41,H42,H44,H46,D1,D4,D5,D6,D8,D12,D13,D15,D16,D18,D19,D21,D27,D28,D29,D30,D32,D34,D36,D39,D40,D42,D43,D44,D45,D46,D48,D49,D50,D51
Shigella dysenteriae,0.009620225,0.000242134,0.031853397,0.008004012,0.005027531,0.074231601,0.000555542,0.000220399,0.000198273,0.000542715,1.16E-05,7.81E-05,0.001288134,0.005809001,0.058947718,0.00180358,0.1898405,0.000554763,0.191984412,0.002515568,0.007214686,0.000151381,0.000912339,0.021012555,0.002849249,0.077047201,0.08027508,6.38E-05,0.041149418,0.266706044,0.045769051,0.013276506,0.007749659,0.000353803,0.32048939,0.021181708,0.188347258,0.001383569,0.10855901,0.096212667,0.002804741,0.002466651,0.004762226,0.019682992,0.13922059,0.333354967,0.00133857,0.253116024,0.500905198,0.028088707,0.143491104,0.009262945,0.001367123,0.232538529,0.186062381,0.00015202,0.004638302,0.005952093,0.011379917,0.000761746
Shigella flexneri,0.009958465,0.000352261,0.030515404,0.007403424,0.006796371,0.098550192,0.00069007,0.000124589,0.000206027,0.000777136,2.71E-05,7.78E-06,0.002063196,0.007141366,0.056464989,0.001888875,0.164282154,0.000508678,0.230053326,0.003749364,0.008848413,0.000262191,0.000807816,0.022031866,0.003654328,0.071219716,0.078535661,0.000113483,0.061532756,0.176706944,0.030125522,0.009615349,0.008474645,0.000423522,0.194052767,0.02199611,0.197908361,0.00355169,0.128702606,0.082901042,0.003540005,0.003828276,0.004149749,0.026600892,0.115660287,0.319634668,0.001620256,0.194735621,0.523235941,0.026620158,0.116179684,0.007081846,0.001126233,0.375320617,0.201012989,6.93E-05,0.012206653,0.006650168,0.011599023,0.000839957
Collinsella sp. 4_8_47FAA,1.48E-05,0.021383732,0.247909169,3.28E-05,0.019313075,0.020112976,0.060655325,8.51E-06,0.034953194,0.022806654,0.012820074,6.31E-05,0.070444402,0.013341621,0.000268317,0.154086128,5.17E-05,0.018175015,0.018912193,0.00485073,8.51E-05,0.053937268,0,0.000988459,0.000127753,0.164024192,0.000377483,0.020950058,0.007750008,0,6.31E-05,0.569244213,0.024974306,0.050842243,0.000130575,0.000107485,0.025851671,0.190029642,0.065819319,0.115945413,0.049922296,0.030099596,0.080547794,0.02799931,0.000185146,0.079301007,4.85E-05,1.11E-05,0.163418757,0.330660375,0.073853945,0.001483603,0.214644694,0.0997443,0.036030604,0.004670335,0.016071293,3.57E-05,8.26E-05,0.044088125
Lachnoclostridium sp. An196,0.03890294,0.07485394,0.027740522,0.100294517,0.047997228,0.106854458,0.075171898,0.01951505,0.085089954,0.048036997,0.0436645,0.054789178,0.093581409,0.060172678,0.102106838,0.068247573,0.011279998,0.017358998,0.02857774,0.031891552,0.039047267,0.100926983,0.226046241,0.071236707,0.013329079,0.005870259,0.003145753,0.081870355,0.000331706,0.000795656,0.020971377,0.021746279,0.136124245,0.068053055,0.014141196,0.012316164,0.017867206,0.019769978,0.003483601,0.021648641,0.010928773,0.021331654,0.051214555,0.0572155,0.002091586,0.020522256,0.146105968,0.030814037,0.006247493,0.179024567,8.12E-05,0.005896678,0.024861733,0.039444699,0.021787664,0.043379665,0.028521074,0.009104306,0.03076972,0.040766247
butyrate-producing bacterium SS3_4,0.024644958,0.027815805,0.013285945,0.213516686,0.044877969,0.063114766,0.049326318,0.271073621,0.042536859,0.020667505,0.040972033,0.021470071,0.041147592,0.061427065,0.131769764,0.073850064,0.006061129,0.02453187,0.048094537,0.11132803,0.051798333,0.030195537,0.19994831,0.048259912,0.06952732,0.021237599,0.005337356,0.062596933,5.82E-05,0.004859511,0.016481933,0.038173239,0.06396935,0.042322679,0.023344459,0.012215816,0.017562852,0.034946593,0.028786799,0.018003166,0.023905204,0.019979149,0.022356847,0.119345545,0.002531743,0.046363257,0.051063408,0.016832847,0.031546726,0.058581559,0.000574226,0.021162031,0.02360442,0.018111546,0.01643525,0.058237643,0.031864226,0.031408421,0.004186117,0.017032213
Ruminococcus gnavus CAG:126,0.024619681,0.000774399,0.002098724,0.037765534,0.003042121,0.007234808,0.0016599,0.007557228,0.002628948,0.006528514,0.001403485,0.000536384,0.000914497,0.002068751,0.009315662,0.001404349,0.019719346,0.000793198,0.002046507,0.009760897,0.004065891,0.001371676,0.006991083,0.883683041,0.001600168,0.008919782,9.31E-05,0.002748846,0.000121391,0.188860658,0.107645429,0.040027123,0.006498371,0.002818209,0.032322666,0.004831503,0.000645522,0.004461969,0.097237032,0.020323855,0.013372731,0.000984054,0.000844156,0.007360758,0.110077674,0.01030186,0.002866895,0.009910152,0.066562962,0.001701523,1.63E-05,0.048606584,0.038895775,0.014425408,0.009778297,0.000807689,0.00241221,0.032712858,0.791497832,0.00163236
Streptococcus anginosus,0.002216088,9.61E-05,0.000550563,0.003637771,0.005422285,0.001172827,0.000326165,0.00071718,0.001084699,0.001258918,0.00139449,0.001865475,0.001684939,0.000999748,0.002790541,0.000576254,0.045913715,0.001287913,0.000187555,0.001671334,0.000610585,0.002631731,6.85E-05,0.000258433,0.000567622,0.000210493,0.156005064,0.004428801,0.003146356,0.164075423,0.001746597,0.001606001,0.000908968,0.00139412,0.008336331,0.054177746,0.000692127,1.233535775,0.036960845,0.021669711,0.021357751,0.001562711,0.002160277,0.001796999,0.245052506,0.00307853,0.000137222,0.001198565,0.000817545,0.002111945,0.329764067,0.001468055,0.001335699,0.014570905,0.000147634,0.000873911,0.001891698,0.001851087,0.012032054,0.005214404
Aquimarina macrocephali,0.003508528,4.72E-05,0.000575607,0.004315242,0.038237303,0.011938934,0,4.02E-06,0.003464653,0.027029,8.91E-05,0.00023395,0,0.000350376,0,0.000227745,0.000379493,0,4.18E-06,0.000465324,0.017350025,0.001124104,5.58E-06,4.74E-06,0,0.002353631,0,0,1.25188357,0,0.001861929,0,5.75E-05,5.00E-05,4.75E-06,0,0,0,0,0.053555661,0.00035172,0,0.001622193,0,0,0,1.21E-05,0.006714889,0,0.028920222,0,0,1.51E-05,0,0,0,0,0.439727991,5.13E-05,0
Clostridium perfringens,0.002662267,0.003415872,0.010719704,0.030409514,0.001956859,0.011976604,0.006885123,0.018776183,0.009877601,0.012658035,0.006753121,0.005458833,0.004314041,0.003150597,0.033565202,0.003143677,0.005539988,0.008733097,0.00479401,0.00218598,0.011354524,0.006186612,0.008817277,0.007011403,0.003840658,0.009185497,0.000929214,0.014741016,0.00028086,9.18E-05,0.011871286,0.0093034,0.011597114,0.083123426,0.019781751,0.004601373,0.003724975,0.106159353,0.043003087,0.009186424,0.129618124,0.008606528,0.009093357,0.021649378,0.065194259,0.963605322,0.010747826,0.003873527,0.010731478,0.01457402,0.000175606,0.009837163,0.001746853,0.008450284,0.004584161,0.002747131,0.012875353,0.039303393,0.018621406,0.004390663
Clostridium sp. CAG:7,0.833979475,0.114478166,0.053957737,0.381355613,0.296495962,8.712028281,0.490502821,1.969510678,0.03226114,0.750481338,2.830690843,0.455709704,0.213606877,1.164825486,0.46148617,0.514774708,0.021340021,0.282068555,0.249303452,10.85455337,0.478230512,0.429017314,0.243321853,1.751513197,0.034507783,0.097959905,0.014019673,0.307779493,0.001244984,0.00597297,0.137043402,0.058784001,0.251383822,2.284653212,0.011624336,0.035270119,0.11350072,0.037075344,1.010822414,0.168826706,0.170440891,0.058882122,0.360327414,0.818740159,0.038578739,0.040703403,0.232885413,0.057175859,0.043487302,2.468740923,0.000444869,0.031159977,0.0327942,0.019459836,2.084364429,0.382757764,0.153124927,0.59726152,0.020282688,0.060351525
