ASV,Health,Disease,Bile,Stone
ASV279,5.056603774,11.3030303,5.574468085,28.96
ASV280,33.98113208,2.696969697,1.021276596,0
ASV281,37.37735849,0.196969697,0,2.48
ASV284,14.50943396,16.25757576,3.340425532,1.08
ASV291,14.71698113,12.34848485,5.106382979,0.68
ASV293,1.283018868,16.22727273,8.106382979,12.56
ASV294,39,0,0,0
ASV295,25.83018868,8.954545455,1.382978723,0.28
ASV297,32.83018868,1.742424242,1.638297872,3.44
ASV298,4.660377358,19.92424242,3.29787234,4.24
ASV301,16.58490566,15.72727273,0.531914894,0.44
ASV302,22.79245283,10.03030303,0.617021277,0.48
ASV303,18.32075472,11.81818182,1.234042553,2.92
ASV305,4.528301887,22.86363636,0.680851064,3.12
ASV306,22.20754717,9.5,0.744680851,3.76
ASV307,5.962264151,22.62121212,1.659574468,2.48
ASV308,18.81132075,15.34848485,0.638297872,0
ASV311,26.56603774,4.212121212,2.085106383,0
ASV312,17.20754717,12.98484848,1.29787234,0.08
ASV313,2.188679245,25.37878788,0.659574468,0
ASV316,17.41509434,7.560606061,2.872340426,4.24
ASV318,0.547169811,0.348484848,7.553191489,37.4
ASV321,27.60377358,3.075757576,1.70212766,2.28
ASV322,22.47169811,8.53030303,0.29787234,0.16
ASV324,24.67924528,2.757575758,1.553191489,5.88
ASV326,3.037735849,0.181818182,27.82978723,0.28
ASV330,5.566037736,12.68181818,9.510638298,1.16
ASV332,9.58490566,13.22727273,5.234042553,1.48
ASV333,21.58490566,7.287878788,0.14893617,0.2
ASV334,2.396226415,20.5,0,0
ASV339,14.77358491,9.272727273,1.425531915,3.12
ASV340,30.81132075,0,0,1.2
ASV342,18.26415094,8.606060606,0.829787234,0.76
ASV343,20.58490566,6.166666667,2.255319149,0.04
ASV347,14.52830189,9.878787879,1.042553191,0.32
ASV348,11.28301887,10.93939394,2.340425532,1.16
ASV351,19.35849057,7.181818182,0,0
ASV356,3.79245283,13.96969697,1.340425532,11.44
ASV357,16.26415094,8.439393939,0.212765957,1.36
ASV359,22.13207547,4.893939394,2.638297872,0.2
ASV363,13.13207547,10.56060606,0.659574468,0.72
ASV364,16.75471698,7.696969697,0.361702128,1.28
ASV365,26.8490566,0,0,0.72
ASV367,10.01886792,13.15151515,0.382978723,1.04
ASV369,16.56603774,2.015151515,7.765957447,0.8
ASV371,13.79245283,11.28787879,0.319148936,0
ASV372,13.94339623,9.742424242,0.978723404,0.32
ASV375,12.77358491,8.545454545,1.638297872,1.28
ASV377,15.45283019,7.742424242,0.595744681,0
ASV380,6.056603774,3.03030303,0,26.2
ASV382,20.18867925,1.060606061,1.744680851,2.28
ASV383,9.830188679,11.39393939,1.021276596,0
ASV387,13.56603774,6.606060606,1.595744681,0.28
ASV389,15.24528302,7.090909091,0.680851064,1.72
ASV391,23.03773585,2.136363636,0.468085106,1.48
ASV392,11.73584906,10.12121212,0.553191489,0
ASV394,26.13207547,0.424242424,0,0
ASV395,24.83018868,1.348484848,0,0
ASV397,10.71698113,10.24242424,0.638297872,0.04
ASV399,15.1509434,7.242424242,0,0
ASV405,6.20754717,12.89393939,0.872340426,0
ASV406,1.018867925,0.287878788,15.34042553,14.84
ASV409,23.16981132,0,0,0
ASV410,11.28301887,11.03030303,0,0
ASV414,11.50943396,10.6969697,0.382978723,0
ASV417,9.471698113,10.62121212,0.191489362,0.2
ASV418,17.43396226,1.181818182,0.70212766,4
ASV421,18.66037736,2.606060606,0.808510638,0.32
ASV423,5.679245283,11.33333333,1.574468085,0.28
ASV424,2.226415094,14.74242424,0.531914894,0.08
ASV428,20.22641509,1.757575758,0,0
ASV429,10.73584906,8.515151515,1,0.4
ASV433,9.132075472,9.439393939,0.29787234,0.4
ASV435,13.35849057,6.545454545,1.042553191,0.56
ASV437,23.79245283,0.257575758,0,0
ASV438,20.01886792,1.303030303,1.063829787,0.8
ASV441,4.773584906,12.57575758,0.085106383,0.2
ASV442,15.88679245,2.742424242,0,0.6
ASV449,7.490566038,10.13636364,0.553191489,0.96
ASV451,3.716981132,9.606060606,2.787234043,6
ASV452,10.39622642,8.333333333,0.085106383,0.52
ASV454,10.52830189,2.606060606,3.319148936,2.96
ASV455,14.47169811,1.575757576,0,8.12
ASV457,0.41509434,0,19.29787234,2.16
ASV459,8.094339623,4.378787879,5.723404255,0.64
ASV460,16.67924528,2.590909091,0.489361702,0.08
ASV464,0.679245283,2.287878788,9.808510638,17.32
ASV465,18.18867925,1.212121212,0.255319149,0.56
ASV475,12.77358491,4.909090909,0.638297872,0.56
ASV476,1,15.15151515,0,0.4
